city,sna,sarea,tot_quantity,sbi_quantity,bemp,lat,lng,update_time_display,load_factor,status_color,scrape_time
New Taipei,YouBike2.0_國際二國學街口,三峽區,15,9,5,24.94319,121.37233,20260615T210802,60.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_大學學成路口,三峽區,11,3,8,24.94298,121.37521,20260615T211403,27.27272727272727,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_國慶三樹路口,三峽區,20,0,20,24.93826,121.37738,20260227T100103,0.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_三樹大學路口,三峽區,24,1,20,24.93951,121.37816,20260615T211304,4.166666666666666,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_薇多綠雅社區(警衛亭),三峽區,19,13,6,24.90883,121.35816,20260615T210004,68.42105263157895,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_薇多綠雅社區(活動中心),三峽區,15,9,5,24.90955,121.35727,20260615T174402,60.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_溪東市民活動中心,三峽區,20,11,9,24.93192,121.40753,20260615T162902,55.00000000000001,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_光明路69巷口,三峽區,17,6,11,24.92918,121.37726,20260615T211403,35.294117647058826,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_大同路270巷口,三峽區,15,4,11,24.92526,121.36551,20260615T201804,26.666666666666668,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_龍埔自行車道(民生街1巷),三峽區,20,4,15,24.93455,121.37824,20260615T210403,20.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_龍埔介壽路口,三峽區,30,15,15,24.93513,121.39008,20260615T205203,50.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_國慶學成路口,三峽區,10,4,6,24.94095,121.37397,20260615T204302,40.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_中園街福隆宮,三峽區,15,1,14,24.92239,121.36717,20260615T210505,6.666666666666667,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學蓮池,三峽區,34,4,30,24.94723,121.37117,20260615T211004,11.76470588235294,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學商學院(尋鳶大道),三峽區,11,0,11,24.94557,121.37249,20260615T210216,0.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學商學院(法商大道),三峽區,26,17,9,24.94499,121.37146,20260615T204302,65.38461538461539,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學行政大樓(法商大道),三峽區,33,15,18,24.94494,121.3712,20260615T171403,45.45454545454545,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學法學院(鳶飛大道),三峽區,29,5,24,24.94438,121.37333,20260615T205504,17.24137931034483,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學公共事務大樓(法商大道),三峽區,44,5,39,24.94363,121.37212,20260615T204503,11.363636363636363,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學公共事務大樓(公政大道),三峽區,34,13,21,24.94325,121.37121,20260615T210302,38.23529411764706,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學行政大樓(公政大道),三峽區,34,16,18,24.94457,121.37037,20260615T184902,47.05882352941176,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學社科院(公政大道),三峽區,40,7,33,24.94441,121.3701,20260615T211403,17.5,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_臺北大學社科院(圖資大道),三峽區,37,12,25,24.94396,121.36912,20260615T211304,32.432432432432435,green,2026-06-15 21:17:53
